P/bar,T/K,D/m2s-1,Visc/Pas
10,298,7.28e-9,394.68e-6
100,298,6.82e-9,433.66e-6
310,298,5.9e-9,525.51e-6
500,298,5.37e-9,611.70e-6
680,298,5.06e-9,697.39e-6
10,323,9.25e-9,305.82e-6
100,323,8.72e-9,338.30e-6
300,323,7.64e-9,409.24e-6
510,323,6.95e-9,484.64e-6
680,323,6.37e-9,547.69e-6
10,348,11.4e-9,243.26e-6
100,348,10.2e-9,271.74e-6
300,348,9.4e-9,332.13e-6
480,348,8.1e-9,385.71e-6
670,348,7.89e-9,443.07e-6
10,373,13.7e-9,196.94e-6
100,373,12.5e-9,222.99e-6
300,373,11.2e-9,276.33e-6
490,373,9.95e-9,324.99e-6
680,373,9.32e-9,373.61e-6
10,398,16.1e-9,161.20e-6
100,398,14.9e-9,185.92e-6
300,398,13.1e-9,234.41e-6
500,398,11.7e-9,279.67e-6
680,398,10.9e-9,319.74e-6
10,423,18e-9,132.57e-6
100,423,16.8e-9,156.87e-6
300,423,15e-9,202.01e-6
500,423,13.6e-9,242.86e-6
680,423,12.3e-9,278.47e-6
