P/bar,T/K,D/m2s-1,errD,Visc/Pas,errVisc
10,298,6.05e-9,0.02e-9,3.69e-4,0.08e-4
100,298,5.69e-9,0.02e-9,4.09e-4,0.09e-4
200,298,5.26e-9,0.02e-9,4.30e-4,0.14e-4
300,298,4.98e-9,0.02e-9,4.61e-4,0.13e-4
400,298,4.73e-9,0.02e-9,5.11e-4,0.12e-4
500,298,4.42e-9,0.02e-9,5.45e-4,0.10e-4
600,298,4.20e-9,0.02e-9,5.75e-4,0.12e-4
700,298,4.03e-9,0.02e-9,6.11e-4,0.16e-4
10,323,7.82e-9,0.04e-9,3.12e-4,0.10e-4
100,323,7.36e-9,0.04e-9,3.32e-4,0.10e-4
200,323,6.89e-9,0.04e-9,3.61e-4,0.11e-4
300,323,6.44e-9,0.03e-9,3.80e-4,0.09e-4
400,323,6.10e-9,0.03e-9,4.09e-4,0.10e-4
500,323,5.75e-9,0.03e-9,4.50e-4,0.10e-4
600,323,5.46e-9,0.03e-9,4.80e-4,0.13e-4
700,323,5.19e-9,0.02e-9,5.09e-4,0.10e-4
10,348,9.92e-9,0.05e-9,2.53e-4,0.05e-4
100,348,9.27e-9,0.05e-9,2.66e-4,0.05e-4
200,348,8.64e-9,0.04e-9,2.91e-4,0.08e-4
300,348,8.11e-9,0.04e-9,3.24e-4,0.06e-4
400,348,7.59e-9,0.04e-9,3.36e-4,0.08e-4
500,348,7.20e-9,0.03e-9,3.74e-4,0.08e-4
600,348,6.85e-9,0.04e-9,3.89e-4,0.09e-4
700,348,6.48e-9,0.03e-9,4.16e-4,0.09e-4
10,373,12.15e-9,0.04e-9,2.15e-4,0.04e-4
100,373,11.39e-9,0.05e-9,2.30e-4,0.06e-4
200,373,10.66e-9,0.05e-9,2.50e-4,0.07e-4
300,373,9.83e-9,0.03e-9,2.75e-4,0.06e-4
400,373,9.36e-9,0.04e-9,2.95e-4,0.05e-4
500,373,8.84e-9,0.05e-9,3.06e-4,0.07e-4
600,373,8.34e-9,0.04e-9,3.24e-4,0.08e-4
700,373,7.92e-9,0.03e-9,3.56e-4,0.09e-4
10,398,14.94e-9,0.06e-9,1.79e-4,0.05e-4
100,398,13.87e-9,0.06e-9,1.97e-4,0.05e-4
200,398,12.80e-9,0.05e-9,2.10e-4,0.05e-4
300,398,11.87e-9,0.05e-9,2.37e-4,0.05e-4
400,398,11.23e-9,0.05e-9,2.52e-4,0.06e-4
500,398,10.48e-9,0.05e-9,2.73e-4,0.05e-4
600,398,10.03e-9,0.05e-9,2.87e-4,0.06e-4
700,398,9.53e-9,0.04e-9,3.07e-4,0.08e-4
10,423,18.11e-9,0.09e-9,1.53e-4,0.03e-4
100,423,16.70e-9,0.09e-9,1.74e-4,0.05e-4
200,423,15.09e-9,0.07e-9,1.94e-4,0.04e-4
300,423,14.10e-9,0.07e-9,2.03e-4,0.06e-4
400,423,13.23e-9,0.06e-9,2.17e-4,0.05e-4
500,423,12.47e-9,0.05e-9,2.42e-4,0.05e-4
600,423,11.79e-9,0.06e-9,2.53e-4,0.06e-4
700,423,11.14e-9,0.05e-9,2.76e-4,0.07e-4
